Player,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,GOALS,xG,ASSISTS,xA,DUELS PER 90,DUELS WON %,Birth country,Passport country,Foot,Height,Weight,On loan,SUCCESSFUL DEFENSIVE ACTIONS PER 90,DEFENSIVE DUELS PER 90,DEFENSIVE DUELS WON %,AERIAL DUELS PER 90,AERIAL DUELS WON %,SLIDING TACKLES PER 90,PADJ SLIDING TACKLES,SHOTS BLOCKED PER 90,INTERCEPTIONS PER 90,PADJ INTERCEPTIONS,FOULS PER 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,SUCCESSFUL ATTACKING ACTIONS PER 90,GOALS PER 90,Non-penalty goals,NON PENALITY GOALS PER 90,xG PER 90,Head goals,Head goals per 90,SHOTS,SHOTS PER 90,SHOTS ON TARGET %,GOAL CONVERSION %,ASSISTS PER 90,CROSSES PER 90,ACCURATE CROSSES %,DRIBBLES PER 90,SUCCESSFUL DRIBBLES %,OFFENSIVE DUELS PER 90,OFFENSIVE DUELS WON %,TOUCHES IN BOX PER 90,PROGRESSIVE RUNS PER 90,ACCELERATIONS PER 90,PASSES PER 90,ACCURATE PASSES %,FORWARD PASSES PER 90,ACCURATE FORWARD PASSES %,BACK PASSES PER 90,ACCURATE BACK PASSES %,LATERAL PASSES PER 90,ACCURATE LATERAL PASSES %,LONG PASSES PER 90,ACCURATE LONG PASSES %,AVERAGE PASS LENGTH,AVERAGE LONG PASS LENGTH,xA PER 90,SHOT ASSISTS PER 90,SECOND ASSISTS PER 90,THIRD ASSISTS PER 90,SMART PASSES PER 90,ACCURATE SMART PASSES %,KEY PASSES PER 90,PASSES TO FINAL THIRD PER 90,ACCURATE PASSES TO FINAL THIRD %,PASSES TO PENALTY AREA PER 90,ACCURATE PASSES TO PENALTY AREA %,THROUGH PASSES PER 90,ACCURATE THROUGH PASSES %,DEEP COMPLETIONS PER 90,DEEP COMPLETED CROSSES per 90,PROGRESSIVE PASSES PER 90,ACCURATE PROGRESSIVE PASSES %
K. Mitoma,Brighton,"LW, LAMF, LWF",27,45000000,2027-06-30,14,1295,3,3.77,2,2.71,15.92,46.29,Japan,Japan,right,178,71,no,5.56,4.73,55.88,1.32,47.37,0.35,0.48,0,2.57,3.57,1.04,0,0,0,0,4.86,0.21,3,0.21,0.26,1,0.07,24,1.67,45.83,12.5,0.14,3.68,37.74,4.93,54.93,8.06,43.97,4.38,4.93,1.04,32.04,78.52,6.39,76.09,9.59,90.58,9.59,78.26,1.39,50,16.77,33.45,0.19,1.04,0.07,0.07,0.21,0,0.69,2.22,62.5,2.78,57.5,0.35,0,1.6,1.25,4.52,73.85
Marc Guiu,Chelsea,CF,18,0,2025-06-30,1,29,0,0,0,0,,,Spain,Spain,right,187,77,no,,,,,,,0,,,7.5,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,17.11,0,,,,,,,,,,,,,,,,,
R. James,Chelsea,"RB, LB",24,40000000,2028-06-30,4,282,0,0,0,0.03,11.81,56.76,England,England,right,179,77,no,6.06,3.83,41.67,3.51,72.73,0,0,0.64,4.47,6.46,0.32,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,1.91,16.67,0.64,50,3.51,45.45,0,0,0,56.49,86.44,22.34,78.57,4.15,92.31,19.47,91.8,5.43,35.29,18.27,38.33,0.01,0.32,0,0,0,0,0,9.26,65.52,2.55,25,0.96,0,0.32,0.96,8.3,73.08
W. Fofana,Chelsea,"RCB, RB",23,25000000,2029-06-30,12,1148,0,0.22,0,0.25,14.5,50.81,France,"France, Côte d'Ivoire",right,186,76,no,6.74,5.72,50.68,3.29,54.76,0.08,0.12,0.55,3.76,5.63,1.57,6,0.47,0,0,0.55,0,0,0,0.02,0,0,3,0.24,0,0,0,0.08,0,0.71,66.67,3.14,45,0.39,2.04,0.47,51.74,91.52,17.87,79.82,4.7,96.67,23.28,98.32,2.51,43.75,17.71,28.24,0.02,0.16,0,0,0.08,100,0.08,4.94,84.13,0.16,50,0.08,100,0.16,0,6.82,58.62
M. Mudryk,Chelsea,"LAMF, LW",23,35000000,2031-06-30,7,206,0,0.2,0,0.22,17.48,40,Ukraine,Ukraine,right,175,61,no,3.93,3.93,55.56,3.06,42.86,0,0,0.44,1.75,2.93,0.87,0,0,0,0,3.93,0,0,0,0.09,0,0,1,0.44,100,0,0,3.06,28.57,6.99,37.5,10.49,33.33,2.18,3.5,1.31,16.6,68.42,4.37,80,3.06,71.43,6.55,66.67,1.31,33.33,18.79,15.1,0.1,0.44,0,0,0.44,0,0.87,1.31,100,2.18,40,0.87,50,0,0.87,3.5,100
Renato Veiga,Chelsea,"LB, LDMF",21,0,,6,218,0,0.32,0,0,18.58,57.78,Portugal,Portugal,left,190,82,no,9.5,10.73,61.54,1.24,100,0.41,0.65,0.41,2.48,3.91,2.06,2,0.83,0,0,0.83,0,0,0,0.13,0,0,2,0.83,50,0,0,0,0,0.83,0,2.48,33.33,0.41,0.83,0,49.54,82.5,16.51,60,8.67,95.24,19.4,97.87,4.54,18.18,19.35,32.28,0,0,0,0,0.83,50,0,6.19,46.67,1.24,0,0.83,0,0,0,4.95,33.33
N. Jackson,Chelsea,CF,23,35000000,2033-06-30,13,1118,8,7.68,3,0.97,15.78,35.2,Senegal,Senegal,right,187,78,no,3.22,3.06,55.26,2.58,34.38,0,0,0,1.53,2.32,0.97,4,0.32,0,0,2.5,0.64,8,0.64,0.62,1,0.08,28,2.25,64.29,28.571,0.24,0.24,33.33,1.37,64.71,6.12,32.89,3.7,1.61,0.48,13.69,78.24,2.33,58.62,4.03,84,4.35,87.04,0.24,66.67,14.59,8.31,0.08,0.72,0,0,0.24,33.33,0.48,0.97,83.33,0.64,37.5,0.16,0,0.81,0.08,1.45,61.11
L. Colwill,Chelsea,"LCB, RCB",21,50000000,2029-06-30,13,1317,0,0.75,0,0.11,10.18,59.73,England,England,left,187,83,no,7.11,4.03,69.49,2.8,58.54,0.21,0.3,0.82,4.1,6.06,1.16,3,0.21,0,0,0.27,0,0,0,0.05,0,0,3,0.21,33.33,0,0,0.07,0,0.27,25,1.64,45.83,0.68,0.75,0.14,60.41,89.82,24.26,80.85,2.32,91.18,28.15,97.57,5.4,51.9,20.15,39.5,0.01,0.07,0,0.07,0.21,66.67,0.07,5.54,82.72,0.34,40,0.48,71.43,0.27,0,9.84,63.89
M. Caicedo,Chelsea,"RDMF, LDMF",23,75000000,2031-06-30,14,1390,1,0.33,2,1.04,16.25,58.17,Ecuador,Ecuador,right,178,71,no,9.32,8.22,64.57,1.36,57.14,0.45,0.66,0.39,3.56,5.22,1.88,3,0.19,0,0,1.23,0.06,1,0.06,0.02,0,0,8,0.52,12.5,12.5,0.13,0.45,28.57,1.42,54.55,4.79,52.7,0.26,0.97,0.13,49.53,88.89,13.79,77.93,7.19,96.4,20.4,93.97,3.95,65.57,17.6,34.71,0.07,0.58,0,0.13,0.39,66.67,0.45,8.48,80.92,1.55,70.83,0.58,44.44,0.71,0.13,7.51,76.72
R. Lavia,Chelsea,"LDMF, DMF, LCMF",20,35000000,2030-06-30,8,483,0,0.38,0,0.79,16.58,55.06,Belgium,Belgium,right,181,75,no,7.64,7.83,61.9,0.93,60,0.56,0.76,0,2.24,3.03,1.49,2,0.37,0,0,0.93,0,0,0,0.07,0,0,1,0.19,0,0,0,0,0,0.93,100,4.84,46.15,0.19,0.19,0.19,43.6,91.03,10.06,70.37,6.71,100,18.07,95.88,1.3,57.14,17.05,25.44,0.15,0.56,0,0,0,0,0.19,6.89,75.68,1.12,33.33,0.19,0,0.56,0,3.91,80.95
E. Fernández,Chelsea,"LDMF, RDMF, LCMF",23,75000000,2032-06-30,13,998,2,1.53,2,1.91,14.79,45.73,Argentina,Argentina,right,178,78,no,8.66,6.31,62.86,1.62,16.67,0.36,0.53,0.18,4.33,6.32,0.99,1,0.09,0,0,1.35,0.18,2,0.18,0.14,1,0.09,10,0.9,40,20,0.18,1.35,40,0.99,36.36,4.96,36.36,1.89,0.9,0.18,49.15,84.04,14.52,72.05,9.11,94.06,17.77,89.34,4.24,48.94,18.67,31.76,0.17,1.26,0.36,0,0.36,25,0.54,8.93,74.75,2.16,41.67,0.9,20,0.72,0.54,6.76,70.67
M. Gusto,Chelsea,RB,21,35000000,2030-06-30,11,926,0,0.76,1,0.22,16.04,57.58,France,"France, Portugal",right,178,76,no,11.18,9.72,63,1.07,45.45,0.58,0.83,0.39,4.47,6.39,0.78,2,0.19,0,0,1.46,0,0,0,0.07,0,0,13,1.26,7.69,0,0.1,2.82,13.79,1.65,58.82,3.3,44.12,2.14,0.68,0.19,46.75,84.41,15.06,81.29,10.5,93.52,14.38,84.46,2.33,50,18.75,29.66,0.02,0.19,0.1,0,0.1,0,0.1,6.51,85.07,2.33,45.83,0.19,0,0.87,0.29,6.8,72.86
F. Jörgensen,Chelsea,GK,22,20000000,2031-06-30,1,101,0,0,0,0,0.89,0,Sweden,"Sweden, Denmark",right,190,82,no,0.89,0,0,0,0,0,0,0,0.89,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,81.25,8.02,77.78,0,0,5.35,100,1.78,50,30.04,54.85,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,1.78,50
C. Palmer,Chelsea,AMF,22,80000000,2033-06-30,14,1356,9,6.9,6,4.16,12.21,51.09,England,England,left,189,74,no,3.65,3.38,56.86,0.2,0,0,0,0.07,1.73,2.55,0.53,3,0.2,0,0,3.85,0.6,8,0.53,0.46,0,0,47,3.12,42.55,19.149,0.4,1.92,31.03,2.92,61.36,6.9,57.69,2.99,2.19,0.6,31.13,80.17,8.83,63.91,6.5,96.94,11.42,85.47,3.19,56.25,19.94,39.48,0.28,1.86,0.07,0.07,0.4,33.33,0.86,5.58,76.19,3.65,60,0.53,50,1.86,0.46,5.18,84.62
T. Adarabioyo,Chelsea,"RCB, LCB, RB",27,20000000,2028-06-30,5,306,0,0.45,0,0,5.88,65,England,"England, Nigeria",right,196,80,no,6.47,2.06,85.71,0.88,66.67,0,0,0.59,4.71,6.58,0.59,1,0.29,0,0,0,0,0,0,0.13,0,0,2,0.59,0,0,0,0,0,0,0,0.88,33.33,0.59,0,0,56.76,94.3,22.35,88.16,2.06,100,25.88,98.86,3.24,72.73,18.75,24.43,0,0,0,0.29,0.29,0,0,3.53,75,0,0,0.29,0,0,0,8.24,67.86
Marc Cucurella,Chelsea,LB,26,30000000,2028-06-30,13,1117,0,0,0,0.75,17.08,52.83,Spain,Spain,left,173,66,no,10.88,8.7,63.89,2.9,38.89,0.24,0.37,0.4,5.08,7.68,0.89,6,0.48,0,0,0.89,0,0,0,0,0,0,1,0.08,0,0,0,1.37,47.06,0.24,100,2.66,51.52,1.21,0.97,0.08,46.41,91.15,15.87,82.23,7.57,98.94,15.87,95.43,2.09,42.31,16.87,29.55,0.06,0.24,0,0,0,0,0.24,4.59,85.96,1.05,30.77,0.08,0,0.32,0.56,6.77,72.62
C. Nkunku,Chelsea,"CF, LAMF",27,65000000,2029-06-30,13,381,2,1.75,0,0.97,16.3,40.58,France,"France, Congo DR",right,177,73,no,3.07,3.78,37.5,2.13,66.67,0,0,0.24,1.65,2.28,2.36,1,0.24,0,0,2.83,0.47,2,0.47,0.41,0,0,9,2.13,44.44,22.222,0,0.47,50,3.31,50,8.27,40,4.25,1.89,0.24,22.91,95.88,3.78,100,7.32,100,6.38,92.59,0,0,12.75,0,0.23,0.71,0,0,0,0,0.24,1.89,100,0.47,50,0,0,1.18,0,2.36,100
A. Disasi,Chelsea,"RB, LCB, RCB",26,40000000,2029-06-30,3,201,1,0.28,0,0,8.96,60,France,"France, Congo DR",right,190,86,no,6.27,3.13,57.14,2.69,83.33,0.45,0.63,0.9,4.03,5.63,0,0,0,0,0,0.45,0.45,1,0.45,0.13,1,0.45,1,0.45,100,100,0,0,0,1.34,0,2.24,40,0.45,0.45,0,53.73,92.5,26.87,86.67,2.24,100,17.46,97.44,2.24,40,17.41,26.56,0,0,0,0,0,0,0,3.58,87.5,0,0,0,0,0.45,0,10.75,70.83
J. Sancho,Chelsea,"LAMF, LW",24,30000000,2026-06-30,8,447,1,0.7,2,0.93,16.11,38.75,England,"England, Jamaica",right,180,76,yes,1.81,3.02,53.33,1.01,0,0,0,0,0.2,0.31,0.4,1,0.2,0,0,3.83,0.2,1,0.2,0.14,0,0,4,0.81,25,25,0.4,0.6,0,4.83,70.83,10.27,39.22,4.43,5.84,0.2,35.64,89.27,7.65,81.58,14.9,90.54,7.05,94.29,0.6,66.67,14.12,14.95,0.19,1.21,0.2,0,0.4,50,1.01,1.21,83.33,3.42,94.12,0.4,50,4.23,0,3.62,83.33
K. Dewsbury-Hall,Chelsea,"AMF, LCMF, LDMF",26,30000000,2029-06-30,5,88,0,0,0,0.12,6.14,33.33,England,England,left,178,70,no,3.07,2.05,50,0,0,0,0,0,2.05,2.86,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,33.33,0,2.05,0,47.05,82.61,15.34,53.33,11.25,100,7.16,85.71,2.05,0,13.21,15.6,0.12,1.02,0,0,0,0,1.02,3.07,66.67,0,0,0,0,2.05,0,4.09,75
Robert Sánchez,Chelsea,GK,27,20000000,2030-06-30,13,1328,0,0,0,0,0.88,69.23,Spain,"Spain, England",right,197,85,no,2.51,0.27,50,0.41,83.33,0,0,0,2.37,3.51,0.14,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.99,83.05,15.93,71.91,0,0,11.11,98.17,8.2,52.07,29.03,52.02,0,0,0.07,0,0,0,0,3.39,40,0.14,100,0.14,0,0,0,5.42,62.5
João Félix,Chelsea,"LAMF, RAMF",25,30000000,2031-06-30,8,359,1,1.92,1,0.31,18.8,44,Portugal,Portugal,right,181,70,no,4.26,3.26,53.85,1.5,16.67,0.75,1.32,0,1.75,3.09,1,2,0.5,0,0,4.01,0.25,1,0.25,0.48,0,0,14,3.51,21.43,7.143,0.25,0.75,33.33,5.26,57.14,11.03,52.27,4.76,3.76,1.5,38.36,86.27,8.52,67.65,10.53,92.86,12.03,91.67,1.5,66.67,16.15,10.43,0.08,1,0,0,0.5,0,0.75,5.52,77.27,2.51,60,0.25,0,2.26,0.25,6.02,79.17
Pedro Neto,Chelsea,"LAMF, RAMF, LW",24,55000000,2031-06-30,12,741,1,0.74,2,2.25,18.95,45.51,Portugal,Portugal,left,172,62,no,4.49,3.64,66.67,1.58,30.77,0.12,0.18,0,1.94,2.84,0.61,4,0.49,0,0,6.07,0.12,1,0.12,0.09,0,0,13,1.58,23.08,7.692,0.24,4.86,42.5,7.29,50,11.66,40.63,2.91,4.37,0.61,29.64,82.38,3.77,67.74,10.81,95.51,8.38,72.46,1.21,50,18.36,17.48,0.27,1.58,0,0,0.12,0,1.46,0.49,25,3.04,48,0,0,0.61,1.58,2.91,79.17
B. Badiashile,Chelsea,"LCB, RCB",23,30000000,2030-06-30,3,185,0,0,0,0,9.24,68.42,France,"France, Congo DR",left,194,77,no,7.78,3.41,42.86,2.43,60,0.49,0.88,0.97,5.84,10.59,1.95,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0.49,100,0.97,100,2.43,100,0,2.92,0,73.95,94.08,24.32,86,5.84,100,33.57,98.55,3.89,87.5,20.1,29.37,0,0,0,0,0.49,0,0,9.24,73.68,0.97,50,0.49,0,0,0.49,12.16,88
N. Madueke,Chelsea,"RAMF, RW",22,28000000,2030-06-30,13,1010,5,5.14,1,1.21,19.78,49.55,England,"England, Nigeria",left,182,70,no,4.54,4.81,51.85,0.98,54.55,0,0,0.18,2.05,3.15,0.8,3,0.27,0,0,6.5,0.45,5,0.45,0.46,0,0,39,3.48,48.72,12.821,0.09,3.21,19.44,6.24,67.14,11.94,51.49,7.13,5.44,0.8,26.29,80.34,5.61,80.95,8.29,94.62,6.95,66.67,0.8,77.78,15.76,13.12,0.11,0.98,0.09,0.09,0.18,0,0.45,0.62,85.71,3.56,57.5,0,0,2.5,0.62,3.74,83.33
Chadi Riad,Crystal Palace,LCB,21,15000000,2029-06-30,1,95,0,0,0,0,26.53,46.43,Spain,"Spain, Morocco",left,187,77,no,8.53,11.37,58.33,9.47,30,0,0,0,1.89,2.86,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,50,2.84,33.33,0.95,0.95,0,72,84.21,30.32,71.88,4.74,80,30.32,96.88,11.37,58.33,21.54,38.29,0,0,0,0,0,0,0,11.37,75,2.84,33.33,0,0,1.89,0,18.95,60
A. Wharton,Crystal Palace,RCMF,20,30000000,2029-06-30,8,663,0,0.27,0,1.17,17.78,55.73,England,England,left,182,73,no,10.32,7.47,67.27,2.44,38.89,1.76,2.18,0,3.53,4.36,0.68,0,0,0,0,1.9,0,0,0,0.04,0,0,9,1.22,55.56,0,0,1.22,44.44,0.95,57.14,4.89,44.44,0.27,0.68,0,45.07,80.42,16.02,68.64,4.62,91.18,18.33,90.37,5.84,48.84,19.28,32,0.16,1.09,0.14,0,0.81,16.67,0.41,8.42,74.19,2.99,59.09,1.76,23.08,1.22,0.54,9.64,70.42
A. Agbinone,Crystal Palace,"RDMF, LCMF",19,0,,2,20,0,0.01,0,0.01,,,England,England,,0,0,no,,,,,,,0,,,10,,0,,0,,,,0,,,0,,1,,,0,,,,,,,,,,,,,,,,,,,,,14.86,0,,,,,,,,,,,,,,,,,
C. Kporha,Crystal Palace,RB,18,0,,1,9,0,0,0,0,,,England,England,right,0,0,no,,,,,,,0,,,15,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,21.07,0,,,,,,,,,,,,,,,,,
N. Clyne,Crystal Palace,"RCB, LCB, RWB",33,1500000,2025-06-30,6,335,0,0,0,0,10.75,47.5,England,"England, Grenada",right,175,67,no,8.87,5.64,66.67,2.42,11.11,1.07,1.19,0.27,4.03,4.46,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0.54,50,1.88,28.57,0.27,0.27,0.27,32.24,74.17,14.78,69.09,3.76,85.71,9.13,88.24,4.84,61.11,15.6,23.51,0,0,0,0,0,0,0,3.22,75,1.88,28.57,0.27,100,0.54,0,6.99,61.54
J. Schlupp,Crystal Palace,"AMF, RAMF, LW",31,7000000,2025-06-30,10,152,0,0.28,0,0,19.54,51.52,Germany,"Germany, Ghana",left,178,72,no,11.25,7.11,91.67,4.14,28.57,0,0,0,4.74,7.5,0,0,0,0,0,4.14,0,0,0,0.16,0,0,3,1.78,66.67,0,0,2.96,60,2.37,50,5.92,40,2.96,1.18,0,23.68,80,4.74,87.5,7.11,83.33,8.29,78.57,1.78,33.33,19.9,13.54,0,0,0,0,0,0,0,1.78,100,2.37,75,0,0,0.59,1.78,4.14,71.43
D. Kamada,Crystal Palace,"LCMF, RWF, RW",28,18000000,2026-06-30,11,675,0,0.79,0,0.9,16,50.83,Japan,Japan,right,184,72,no,9.07,8.27,59.68,0.93,28.57,0.93,1.12,0.27,3.2,3.85,1.87,2,0.27,1,0.13,1.87,0,0,0,0.11,0,0,7,0.93,42.86,0,0,1.73,23.08,1.2,55.56,3.87,48.28,1.6,1.07,0.4,38.67,83.45,11.73,70.45,6.93,94.23,13.33,90,2.67,55,19.12,26.08,0.12,0.93,0.13,0.13,0.67,60,0.27,6,77.78,2.27,58.82,0.53,50,0.93,0.4,5.6,83.33
C. Richards,Crystal Palace,"LCB, RCB",24,12000000,2027-06-30,6,387,0,0,0,0,13.26,54.39,United States,United States,right,188,87,no,11.16,7.44,68.75,3.49,26.67,0.7,0.77,0,5.35,5.9,0.7,1,0.23,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,100,0.7,33.33,0.7,0.23,0,38.6,84.94,17.91,75.32,3.26,100,12.56,96.3,3.49,46.67,18.22,30.79,0,0,0,0,0,0,0,4.19,66.67,0.23,0,0.47,50,0,0,5.81,60
C. Doucouré,Crystal Palace,"LCMF, RCMF",24,35000000,2029-06-30,7,279,0,0.09,0,0.31,17.74,50.91,Mali,Mali,right,180,73,no,8.06,6.45,45,0.97,33.33,1.29,1.52,0,3.87,4.56,1.29,1,0.32,0,0,1.61,0,0,0,0.03,0,0,5,1.61,0,0,0,0.32,100,1.94,66.67,6.45,50,0.97,0,0,33.23,89.32,9.68,76.67,5.48,94.12,14.19,95.45,1.61,40,17.28,14.99,0.1,0.32,0,0,0,0,0.32,4.52,64.29,0.65,100,0.32,0,0,0.32,3.87,66.67
J. Devenny,Crystal Palace,"LW, LCMF",21,0,,5,229,1,0.35,0,0.76,13.36,58.82,Northern Ireland,"Northern Ireland, Scotland",left,0,0,no,8.25,9.04,65.22,1.18,33.33,0,0,0,2.36,2.57,0.39,0,0,0,0,1.57,0.39,1,0.39,0.14,0,0,4,1.57,25,25,0,1.57,50,0.79,50,1.97,40,1.57,0.79,0.79,29.08,75.68,8.25,61.9,3.14,100,12.58,75,2.75,28.57,16.57,23.51,0.3,1.97,0,0,0.39,0,0.39,4.32,36.36,1.97,40,0.79,0,0,0.79,3.14,50
W. Hughes,Crystal Palace,"RCMF, LCMF",29,9000000,2025-06-30,13,874,0,0.4,2,0.9,17.09,50.6,England,England,left,185,74,no,8.86,9.37,53.85,1.75,47.06,0.72,0.83,0.41,3.09,3.56,2.06,6,0.62,0,0,0.93,0,0,0,0.04,0,0,8,0.82,12.5,0,0.21,1.34,38.46,0.21,100,2.88,57.14,0.31,1.24,0.31,35.53,83.48,12.15,72.88,4.74,97.83,13.28,86.05,3.19,51.61,18.48,29.81,0.09,1.13,0,0,0.1,100,0.41,7.21,75.71,2.16,42.86,0.41,50,0.41,0.51,7.31,78.87
J. Lerma,Crystal Palace,LCMF,30,20000000,2026-06-30,11,731,0,0.51,0,0.47,15.76,50.78,Colombia,Colombia,right,179,70,no,9.6,5.17,64.29,5.29,39.53,0.49,0.56,0.86,5.79,6.53,1.23,4,0.49,0,0,0.74,0,0,0,0.06,0,0,9,1.11,11.11,0,0,0.12,0,0.49,75,2.83,60.87,0.62,0.49,0.12,43.58,82.49,15.02,63.11,5.42,90.91,17.48,92.96,5.29,60.47,18.32,33.49,0.06,0.25,0,0,0.37,66.67,0.25,7.26,71.19,2.09,58.82,0.98,62.5,0.98,0,7.88,76.56
D. Henderson,Crystal Palace,GK,27,12000000,2028-06-30,15,1484,0,0,0,0,0.97,93.75,England,England,right,188,85,no,2.24,0.18,66.67,0.73,100,0.06,0.07,0,2.06,2.38,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,81.21,9.64,67.3,0,0,6.67,99.09,8.13,61.19,35.37,52.74,0,0,0,0,0,0,0,2.97,42.86,0.24,0,0.12,0,0,0,5.52,83.52
E. Nketiah,Crystal Palace,"RWF, CF, AMF",25,30000000,2029-06-30,10,564,0,1.67,0,0.59,22.02,44.2,England,"England, Ghana",right,180,73,no,5.11,4.95,51.61,3.51,36.36,0.64,0.76,0.16,1.91,2.28,1.91,2,0.32,0,0,3.83,0,0,0,0.27,0,0,19,3.03,31.58,0,0,1.28,37.5,3.03,73.68,9.73,47.54,4.63,2.23,0.16,19.63,73.98,3.67,56.52,6.06,86.84,6.06,89.47,0.96,50,20.83,18.2,0.09,0.96,0,0,0.16,100,0,1.76,63.64,0.64,50,0.16,100,0.32,0.48,1.76,63.64
T. Chalobah,Crystal Palace,"RCB, LCB",25,13000000,2028-06-30,9,864,1,0.92,0,0.22,14.58,59.29,Sierra Leone,"Sierra Leone, England",right,192,84,yes,10.73,6.04,68.97,3.75,55.56,0.31,0.34,0.73,6.25,6.74,0.83,1,0.1,0,0,1.15,0.1,1,0.1,0.1,0,0,7,0.73,28.57,14.286,0,0.52,40,1.15,63.64,2.92,60.71,0.83,0.83,0,32.19,81.23,13.75,71.21,2.29,95.45,12.08,90.52,4.79,50,21.39,37.83,0.02,0.21,0,0,0,0,0.1,4.48,58.14,0.83,50,0.21,50,0.21,0.21,6.35,60.66
J. Mateta,Crystal Palace,CF,27,20000000,2026-06-30,15,1223,4,4.49,1,1.31,18.62,36.36,France,"France, Congo DR",right,190,84,no,2.35,1.99,59.26,5.22,32.39,0.07,0.09,0,1.1,1.31,0.88,2,0.15,0,0,1.91,0.29,3,0.22,0.33,0,0,25,1.84,32,16,0.07,1.18,6.25,1.69,60.87,6.84,41.94,2.8,1.25,0.07,12.58,71.35,2.43,72.73,3.16,76.74,3.61,55.1,0.37,20,14.52,10.33,0.1,0.74,0,0,0.37,60,0.44,0.88,66.67,1.25,35.29,0.29,75,0.59,0,1.1,80
M. Guéhi,Crystal Palace,"LCB, CB",24,38000000,2026-06-30,15,1484,2,1.21,1,0.54,13.65,59.11,Côte d'Ivoire,"Côte d'Ivoire, England",right,182,82,no,9.7,4.31,71.83,4.37,58.33,0.3,0.35,0.79,6.31,7.29,0.36,2,0.12,0,0,0.85,0.12,2,0.12,0.07,0,0,6,0.36,66.67,33.333,0.06,0.18,33.33,0.73,75,2.67,52.27,0.55,0.79,0.06,43.85,88.24,18.98,77.96,1.88,96.77,19.95,96.35,6.55,57.41,21.6,40.12,0.03,0.36,0.06,0,0,0,0.24,6.19,72.55,0.97,50,0.61,50,0.36,0.06,9.28,71.9
I. Sarr,Crystal Palace,"RW, RWF, AMF",26,18000000,2029-06-30,15,909,1,3.63,1,1.88,16.83,46.47,Senegal,Senegal,right,185,76,no,5.25,3.96,65,3.47,37.14,0,0,0.2,2.67,3.02,0.59,2,0.2,0,0,3.76,0.1,1,0.1,0.36,0,0,17,1.68,64.71,5.882,0.1,2.57,30.77,2.87,62.07,6.73,47.06,3.96,2.08,0.69,21.68,76.26,5.25,62.26,4.65,93.62,7.33,72.97,0.59,16.67,15.66,11.57,0.19,0.99,0.1,0,0.3,33.33,0.69,1.19,66.67,2.67,51.85,0.3,33.33,1.58,0.89,2.48,84
E. Eze,Crystal Palace,"LWF, AMF, LW",26,55000000,2027-06-30,12,1108,1,2.33,2,2.09,21.93,37.04,England,"England, Nigeria",right,173,67,no,4.06,4.14,50.98,2.36,17.24,0.32,0.38,0,1.62,1.91,0.41,0,0,0,0,3.82,0.08,1,0.08,0.19,0,0,39,3.17,33.33,2.564,0.16,1.62,30,5.04,45.16,12.59,35.48,3.09,1.87,0.16,32.33,81.91,8.94,72.73,7.88,91.75,8.94,85.45,2.19,40.74,16.64,31.46,0.17,1.71,0.08,0,0.49,0,0.57,3.09,63.16,2.68,57.58,1.06,15.38,1.87,0.65,4.39,75.93
D. Muñoz,Crystal Palace,"RWB, RB",28,23000000,2027-06-30,15,1378,2,3.73,1,1.5,21.75,49.25,Colombia,Colombia,right,181,73,no,11.76,9.99,62.09,4.64,46.48,0.39,0.45,0.13,5.16,5.98,1.5,4,0.26,0,0,1.96,0.13,2,0.13,0.24,1,0.07,14,0.91,35.71,14.286,0.07,2.09,37.5,1.37,61.9,4.18,42.19,2.48,1.24,0.2,31.94,74.64,8.88,55.15,7.71,94.92,9.54,80.14,2.35,30.56,17.12,28.01,0.1,0.98,0.07,0,0,0,0.26,3.46,49.06,2.09,43.75,0.39,33.33,0.52,0.85,5.42,57.83
